Trade Date,Nyse Tape A,Nyse Arca Tape A,Nyse American Tape A,Nyse National Tape A,Nyse Chicago Tape A,Consolidated Tape A,Nyse Tape B,Nyse Arca Tape B,Nyse American Tape B,Nyse National Tape B,Nyse Chicago Tape B,Consolidated Tape B,Nyse Tape C,Nyse Arca Tape C,Nyse American Tape C,Nyse National Tape C,Nyse Chicago Tape C,Consolidated Tape C
20211022,765.1,188.2,10.9,50.9,13.9,"3,759.9",41.6,275.8,28.1,29.1,4.5,"1,686.8",55.5,524.8,9.4,28.7,4.9,"5,775.8"
20211021,832.8,194.0,12.5,44.6,12.5,"3,826.1",31.1,242.3,24.9,25.4,4.4,"1,490.7",49.1,437.2,13.1,27.2,4.3,"4,961.9"
20211020,739.9,179.7,11.2,45.5,6.5,"3,672.9",33.6,252.8,30.2,23.5,3.7,"1,597.0",45.7,307.8,8.2,26.3,2.6,"4,117.1"
20211019,698.2,166.7,10.1,39.3,3.3,"3,462.7",33.3,250.3,29.7,26.1,3.5,"1,726.2",51.7,349.7,14.2,27.8,4.3,"4,488.5"
20211018,778.8,168.1,10.9,41.7,5.0,"3,662.0",31.5,223.8,23.9,25.7,2.0,"1,437.2",48.7,294.4,10.0,26.4,4.5,"4,167.7"
20211015,985.9,181.3,12.1,46.7,13.3,"3,825.3",32.8,249.9,36.0,25.6,7.6,"1,627.1",43.3,341.9,12.5,25.7,16.9,"4,498.0"
20211014,795.5,180.3,11.5,44.4,12.8,"3,598.5",35.9,250.4,30.4,25.2,6.6,"1,515.5",44.4,341.7,8.7,26.2,7.6,"4,262.5"
20211013,794.9,184.5,11.1,45.3,4.5,"3,620.1",49.1,292.1,32.7,30.5,1.9,"1,797.9",49.8,319.8,8.8,24.7,5.8,"4,052.2"
20211012,782.3,180.8,10.6,42.0,6.8,"3,559.4",41.9,282.6,28.1,27.8,4.8,"1,680.0",53.8,344.9,9.6,26.1,5.2,"4,063.8"
20211011,702.0,163.4,10.6,38.7,3.9,"3,282.0",33.5,234.6,26.5,20.3,2.0,"1,452.7",37.8,283.7,9.4,19.8,2.3,"3,539.5"
20211008,713.3,169.5,10.8,41.2,1.5,"3,280.4",48.6,328.1,62.1,28.5,3.1,"2,394.6",41.3,293.2,7.1,22.4,2.5,"3,571.4"
20211007,882.0,194.0,13.1,47.0,5.8,"3,843.9",42.9,351.1,59.5,32.1,7.7,"2,520.2",49.2,340.4,8.1,24.3,1.8,"3,984.2"
20211006,892.0,217.2,12.4,48.9,4.8,"4,018.8",59.6,417.6,61.7,33.5,8.3,"2,472.3",54.4,387.2,15.6,29.3,3.7,"4,472.4"
20211005,876.6,203.2,12.4,53.6,4.2,"3,908.2",48.2,374.7,115.0,32.3,8.0,"2,577.5",50.3,322.4,9.0,28.4,3.3,"4,177.0"
20211004,"1,012.5",219.5,13.3,54.1,5.4,"4,319.1",71.2,418.2,42.1,34.3,3.9,"2,453.1",56.5,365.0,9.6,33.2,3.9,"4,557.1"
20211001,915.6,205.6,11.1,49.6,3.6,"4,013.8",57.2,404.1,41.2,36.3,3.1,"2,455.1",51.7,401.6,9.0,31.9,3.2,"4,712.0"
20210930,"1,166.6",225.1,14.7,56.6,7.5,"4,475.0",69.3,461.5,52.1,44.0,5.8,"2,674.5",61.1,544.3,17.9,34.3,6.0,"5,959.0"
20210929,824.6,197.8,11.6,53.3,6.5,"3,713.0",57.2,429.4,84.1,39.6,2.6,"2,734.6",56.4,487.2,9.6,32.6,6.7,"5,294.7"
20210928,"1,000.3",237.3,14.7,63.6,5.0,"4,431.4",70.6,500.1,57.9,47.8,4.4,"3,037.5",68.7,428.8,10.3,34.7,5.6,"4,989.5"
20210927,898.1,214.3,12.8,55.5,4.9,"4,058.7",38.8,281.7,34.1,26.4,3.1,"1,794.4",57.9,378.2,9.4,30.1,2.3,"4,650.8"
20210924,763.3,173.0,10.4,42.9,4.1,"3,384.3",36.2,259.2,31.7,24.9,4.1,"1,715.7",45.8,318.8,7.0,25.4,4.2,"3,992.2"
20210923,795.9,212.8,14.4,49.3,6.6,"3,916.4",43.9,287.6,36.9,28.8,3.7,"1,850.6",53.9,343.8,9.1,30.7,4.7,"4,196.1"
